title;description;type;content;location
malla curricular;Plan Ingeniería Civil Informática [ 73 13 ];URL;https://www.inf.utfsm.cl/images/documentos/nueva-malla-ici.pdf;aula tecnológica
AlphaGo;AlphaGo, la inteligencia artificial que derrotó al mejor jugador de go;IMG;http://news.xinhuanet.com/english/2016-03/13/135183942_14578632010391n.jpg;biblioteca
san joaquin;UTFSM - Sede San Joaquin;IMG;http://www.usm.cl/assets/img/campuses-sanjoaquin.jpg;cafeteria
defider;La universidad ofrece Ofrecer al estudiante las dependencias para la práctica de la actividad física y así promover la vida sana;URL;http://www.defider.usm.cl/nosotros-central/;cancha
El cañon;El cañon solía resguardar la bahía de Valparaíso desde el Fuerte Pudeto, lugar donde se fundó la universidad.;IMG;http://sansanos.us//pictures/Postal%20Can_on.JPG;cañon
ciac;¿Quires saber más sobre el cias?;URL;http://www.noticias.usm.cl/2014/08/11/centro-integrado-de-aprendizaje-en-ciencias-basicas-usm-amplia-sus-instalaciones/;ciac
Federico Santa María;'...poniendo al alcance del desvalido meritorio llegar al más alto grado del saber humano';IMG;https://upload.wikimedia.org/wikipedia/commons/e/e0/FedericoSantaMaria.jpg;federico santa maria
Departamento de Informática;Página del departamento;URL;https://www.inf.utfsm.cl/;edificio f
La feria;La fería del software, un lugar dar a conocer tu conocimientos, capacidad creativa, trabajo en equipo y emprendimiento.;URL;https://www.feriadesoftware.cl/;escaleras al patio
No me abras;¿Qué será este link?;URL;https://goo.gl/forms/xDuVtI3hJz51S2BV2;patio central
alan turing;El padre de la informática;IMG;https://www.icmat.es/images/Alan%20Turing.png;estatua
Nuestra universidad;De la Sombra a la Luz: Historia de un Legado;YT;XhsBMSOht88;edificio a
Margaret Hamilton;Margaret Hamilton junto al código de su software de navegación desarrollado para el Programa Espacial Apolo.;IMG;https://upload.wikimedia.org/wikipedia/commons/d/db/Margaret_Hamilton_-_restoration.jpg;patio de los ceibos
El mapa;Un interesante video de los diferente campos de la ingenieria en informática;YT;SzJ46YA_RaA;gomero
Requisitos;Piensas postula a la UTFSM, revisa los puntajes y requisitos;URL;https://www.usm.cl/admision/requisitos/;hall c
No te pierdas nadas;Siguenos en nuestras redes sociales;URL;https://www.facebook.com/PromoInformaticaUTFSM/;la ruta informática
Laboratorios;Descubre los diferentes laboratorios de la departamento;YT;fAb6WXT-UdE;labcomp
viña del mar;UTFSM - Sede Viña del Mar;IMG;https://c1.staticflickr.com/8/7376/9318765437_721d1ea524_b.jpg;labpro
No me abras;¿Qué será este link?;URL;https://goo.gl/forms/xDuVtI3hJz51S2BV2;piscina
Iniciativas;No todo es estudiar, existen diferentes iniciativas estudiantiles de las que puedes formar parte;URL;http://www.piea.usm.cl/iniciativas-estudiantiles/;comedores
